위치,조항,제목,내용
서울대학교 학칙,76,대학원과정의 학기당 취득학점,"대학원과정의 학기당 취득학점은 12학점 이내를 원칙으로 한다. 다만, 교과 과정 운영상 필요한 경우에는 대학(원)별로 따로 정할 수 있다.법제처                                                            19                                                       국가법령정보센터  서울대학교 학칙"
서울대학교 학칙,77,전공이수,"① 학사과정에서 학생이 소속한 전공(주전공) 이외에 다음 각 호에 해당하는 전공을 이수할 수 있 다. 다만, 대학장은 다음 각호의 전공이수에 관하여 따로 정할 수 있으며, 이 경우 총장의 승인을 받아야 한다. 1. 학생이 소속한 학과(부) 이외의 전공과정을 이수하는 복수전공 2. 둘 이상의 학과(부)·전공이 연합하여 별도의 전공을 설치하는 연합전공 3. 학과(부)가 다른 학과(부)의 전공과 연계하여 교과과정을 확장 편성하는 연계전공 4. 학생이 교과과정을 구성하여 총장의 승인을 받은 학생설계전공 5. 학생이 소속한 학과(부) 이외의 전공과정을 일정 학점수 이상 체계적으로 이수하는 부전공 ② 대학원 과정의 학생은 다음 각 호에 해당하는 전공을 이수할 수 있다. 1. 학생이 소속한 전공(주전공) 2. 학생이 소속한 학과(부) 또는 협동과정을 포함한 둘 이상의 학과(부) 및 협동과정이 융합하여 별도의 전공을 설 치하는 융합전공  ③ 자유전공학부 소속 학생은 학생설계전공이나 타 대학 소속 학과(부)의 전공을 주전공으로 이수할 수 있다. 다 만, 간호대학, 사범대학, 수의과대학, 약학대학, 의과대학 소속 학과의 전공은 이수할 수 없다. ④ 제1항 각 호 및 제2항 각 호의 전공운영에 관한 사항은 따로 정한다.   제77조의2(교과인증과정이수) ① 학사과정 및 대학원과정의 학생은 9학점 이상 15학점 이내로 구성된 교과과정(이 하 “교과인증과정”이라 한다)을 이수하고 그 이수내역을 인증받을 수 있다. ② 교과인증과정 운영에 관한 사항은 따로 정한다. [본조신설 2022. 1. 3.]"
서울대학교 학칙,78,과정이수 학점 등,"① 학사과정의 졸업에 필요한 학점은 교양과목 36학점 이상, 전공과목 39학점 이상을 포 함하여 130학점 이상으로 한다. 다만, 의학과·수의학과·약학과·제약학과의 학사과정은 전공과목을 주로 과하며, 의 학과·수의학과 해당 예과에서는 교양과목을 주로 과하되 예과 수료에 필요한 학점은 68학점 이상으로 한다. [개정 2018. 6. 15.] ② 학사과정의 복수전공, 연합전공 및 학생설계전공 이수자는 해당 학과(부)·전공에서 정한 전공교과목 39학점 이상을, 연계전공 및 부전공 이수자는 해당 전공에서 정한 교과목 21학점 이상을 이수하여야 하며, 이에 관한 세 부사항은 따로 정한다. [개정 2021. 5. 31.] ③ 대학원 과정 수료에 필요한 학점은 다음 각 호의 기준 학점 이상으로 한다. 다만, 석사과정 수료에 필요한 학 점이 30학점 미만인 학과(부)·전공이 제89조제1항 단서에 따라 종합시험과 학위논문을 실적심사로 대체하여 시 행하는 경우 수료에 필요한 학점은 30학점 이상으로 한다.[개정 2018. 6. 15., 2022. 7. 25.] 1. 일반대학원 가. 석사과정 : 24학점  나. 박사과정 : 36학점  다. 석사·박사통합과정 : 60학점 [신설 2018. 6. 15.]  2. 전문대학원 가. 보건대학원, 행정대학원, 환경대학원 : 석사과정 30학점 [개정 2018. 6. 15.]  나. 국제대학원 : 석사과정 30학점, 박사과정 45학점[개정 2018. 12. 7.,2023. 8. 31.]  다. 경영전문대학원 : 석사과정 45학점 [개정 2013. 4. 24.. 2018. 6. 15., 2020. 3. 25.]  라. 치의학대학원 : 석사과정 165학점, 학사·전문석사통합과정 275학점. 이 경우 전문석사과정 진입을 위한 학  점은 110학점만 포함한다. [개정 2018. 6. 15.]  마. 법학전문대학원 : 석사과정 90학점, 박사과정 24학점  바. 융합과학기술대학원 : 석사과정 24학점, 박사과정 36학점  사. 국제농업기술대학원 : 석사과정 39학점, 박사과정 36학점 [개정 2021. 3. 1.]  아. 공학전문대학원 : 석사과정 36학점 [신설 2015. 10. 13.] 법제처                                                            20                                                       국가법령정보센터  서울대학교 학칙  자. 데이터사이언스대학원 : 석사과정 30학점, 박사과정 36학점  [개정 2019. 12. 26., 2022. 10. 21.]  ④ 학사과정 졸업 및 대학원과정 수료에 필요한 학점은 총장의 승인을 받아 대학(원)별로 따로 정할 수 있다. [개 정 2018. 6. 15.]"
서울대학교 학칙,79,타 학부·학과 교과목의 이수,타 대학(원) 또는 타 학과(부)의 교과목을 전공과목으로 이수하게 할 수 있다.
서울대학교 학칙,80,과정간의 학점취득 인정,"① 학사과정 3학년 이상의 학생으로서 석사과정의 교과목을 이수하고자 할 때에는 학과(부)장의 승인을 받아야 하며, 이 때 취득한 학점은 학사과정 졸업학점에 포함하거나 석사과정 입학 후 석사 과정 수료학점에 포함할 수 있다. [개정 2018. 6. 15.] ② 대학원 과정의 학생으로서 학사과정 교과목을 이수하고자 할 때에는 학과(부)장 또는 전공주임교수의 승인을 받아야 하며,  이 때 취득한 학점은 대학원 과정을 통산하여 6학점 이내에서 대학원 과정 수료 학점으로 인정할 수 있다. 다만, 경영전문대학원의 학생은 학사과정 교과목을 이수할 수 없다. [개정 2018. 6. 15.]"
서울대학교 학칙,81,선수과목,"대학원과정에서 사전에 학사과정의 교과목을 이수하게 할 필요가 있을 때에는 이를 교과과정에 선수과목으로 지정할 수 있으며, 이 때 취득한 학점은 학위취득 소요학점에 산입하지 아니한다."
서울대학교 학칙,82,타 대학 등 이수 학점의 인정,"① 학생이 국내·외의 학교에서 취득한 학점은 학위과정별 졸업에 필요한 학점 의 2분의 1 이내에서 이수 학점으로 인정할 수 있다.[개정 2015. 2. 6.] ② 「고등교육법」 제23조제1항제3호에 따라 학사과정 1학년 학생이 본교 입학 전에 대학교육과정에 상당하는 교 과목을 이수한 경우 별도의 정하는 바에 따라 취득학점으로 인정할 수 있으며, 이에 관한 사항은 따로 정한다."
서울대학교 학칙,83,취득학점의 인정,"① 학사과정에서는 교과목별 성적이 “D-” 이상일 때  학점을 취득한 것으로 인정하며, 전 교과목 및 전공교과목(복수전공·연합전공·연계전공·학생설계전공·부전공 포함)의 성적 평점평균이 각각 2.0 이상이 어야 졸업할 수 있다. ② 대학원과정에서는 교과목별 성적이 “D-” 이상일 때 학점을 취득한 것으로 인정하며, 각 과정에서 이수한 전 교과목 및 전공교과목의 성적 평점평균이 각각 3.0 이상이어야 학위를 취득할 수 있다. 다만, 치의학대학원·법학 전문대학원 석사과정은 2.0 이상이면 학위를 취득할 수 있다.               제5절 시험과 성적"
서울대학교 학칙,84,시험,"교과목별로 성적을 평가하기 위하여 학기말에 시험을 실시한다. 다만, 중간시험을 수시로 행할 수 있다 ."
서울대학교 학칙,85,성적평가,"① 학업성적은 시험성적, 과제평가, 출석상황, 학습태도 등을 참작하여 부여하며, 그 등급과 평점은 다음과 같다. 분하여 급제는 ""S”로, 낙제는 ""U”로 표시한다. 다만, 의학계열(수의과대학 학사과정, 의과대학 학사과정, 치의학대학원 ) 및 법학전문대학원 교과목에 한해서는 급제를 “S”와 “S+”로 구분하여 표시할 수 있다. [개정 2023. 2. 21.] ③ 매 학기 수업일수의 3분의 2 이상을 출석하지 아니한 교과목의 성적은 ""F"" 또는 ""U""가 된다. 다만, 불가피한 사 유로 출석하지 못한 경우는 예외로 할 수 있다. 법제처                                                            21                                                       국가법령정보센터  서울대학교 학칙"
서울대학교 학칙,86,추가시험,질병 등 부득이한 사유로 시험에 응하지 못할 때에는 사전에 추가시험원을 학(원)장에게 제출하여 승인을 받아야 한다.               제6절 수료와 졸업
서울대학교 학칙,87,학사과정의 학년수료,"① 학사과정의 학년수료에 필요한 학점은 다음 각 호 이상으로 한다. [개정 2018. 6. 15.] 1. 1학년 : 33학점 [개정 2018. 6. 15.] 2. 2학년 : 65학점 [개정 2015. 2. 6., 2018. 6. 15.] 3. 3학년 : 98학점 [개정 2018. 6. 15.] 4. 4학년 : 130학점 [개정 2018. 6. 15.] 5. 5학년 : 160학점 [개정 2018. 6. 15.] 6. 6학년 : 211학점 [개정 2020. 2. 27.] [시행 2022. 3. 1.] ② 학사과정에서 해당 학년까지 소정의 등록을 필하고 학점을 취득하였을 때에는 학년 수료를 인정한다.[개정 2018. 6. 15.]"
서울대학교 학칙,88,학사과정의 졸업,"① 재학생으로 제52조, 제78조 및 제83조에 따라 학사과정을 이수하고 대학별로 정한 졸업 요건을 갖춘 경우 졸업 희망학기 수업일수 4분의 1 이내에 졸업신청서를 제출하고 졸업논문심사 또는 그와 동등 한 실적심사에 합격한 학생에게는 졸업증서를 수여한다.[개정 2018. 6. 15.] ② 졸업증서에는 제3조제4항에 따른 교과과정상의 전공을 표기할 수 있다. ③ 제5조에 따른 학사·석사 연계과정 및 학사·석사·박사통합 연계과정 이수자에게는 제1항의 졸업논문심사 또는 그와 동등한 실적심사를 면제할 수 있다. [개정 2022. 1. 3.] ④ 학사·석사통합과정을 중도에 포기하거나 탈락한 사람으로서 제1항의 졸업요건을 충족한 학생에 대하여는 졸 업증서를 수여한다.〔개정 2013. 4. 24.〕 ⑤ 자유전공학부 소속 학생이 대학별로 정한 전공이수 요건을 갖춘 경우 해당 대학에서 인정하는 졸업증서를 수 여한다."
서울대학교 학칙,89,대학원 과정의 졸업,"① 재학생 또는 수료생으로 제52조, 제78조 및 제83조에 따라 석사과정을 이수하고 소 정의 시험과 학위논문심사에 합격한 학생으로서 소정의 기일 내에 최종 인증된 논문을 제출한 학생에게는 석사학 위를 수여한다. 다만, 대학원위원회의 승인을 받은 학과(부)·전공의 경우 종합시험과 학위논문을 실적심사로 대체 할 수 있으며, 이에 관한 사항은 따로 정한다. [개정 2015. 10. 13., 2018. 6. 15., 2022. 7. 25.] ② 재학생 또는 수료생으로 제52조, 제78조 및 제83조에 따라 박사과정 또는 석사·박사 통합과정이나 치의학대학 원 복합학위과정을 이수하고 소정의 시험과 학위논문심사에 합격한 학생으로서 소정의 기일 내에 최종 인증된 논문을 제출한 학생에게는 박사학위를 수여한다. [개정 2018. 6. 15.,2023. 8. 31.] ③ 다음 각 호의 어느 하나에 해당하는 학생으로서 제1항의 석사학위 수여기준을 충족한 학생에 대하여는 석사 학위를 수여할 수 있다. 1. 석사·박사 통합과정을 중도에 포기하거나 탈락한 학생 [개정 2018. 6. 15.] 2. 석사·박사 통합과정을 수료한 학생으로서 박사학위를 취득하지 못한 학생 3. 치의학대학원의 복합학위과정을 수료한 학생 [개정 2016. 9. 6.] ④ 학위기에는 제3조제4항에 따른 교과과정상의 전공을 표기할 수 있다."
서울대학교 학칙,90,학위수여,"① 학위는 학사·석사·박사 및 명예박사 4종으로 하고, 학위수여에 관한 세부사항은 따로 정한다. ② 제14조제2항의 전문대학원에서는 원칙적으로 전문학위를 수여하되, 필요한 경우 학술학위를 수여할 수 있으 며 이에 관한 사항은 따로 정한다.법제처                                                            22                                                       국가법령정보센터  서울대학교 학칙                제7절 특별학점취득·계절수업·공개강좌 등"
서울대학교 학칙,91,특별학점 취득,"① 특별학점 취득을 위하여 교양과목학점취득 특별시험을 실시하여, 최대 12학점까지 취득하 게 할 수 있다. ② 교양과목학점취득 특별시험에 관한 세부사항은 따로 정한다."
서울대학교 학칙,92,계절수업 등,"① 하계휴가 또는 동계휴가 기간 중에 필요에 따라 계절수업을 운영할 수 있으며, 계절수업에서 취득할 수 있는 학점은 하계계절수업은 9학점 이내, 동계계절수업은 6학점 이내로 한다. ② 필요에 따라 방송·통신에 의한 수업 및 현장실습 수업을 운영할 수 있으며, 이를 통하여 학점을 취득하게 할 수 있다. ③ 제1항 및 제2항의 수업 운영에 관한 세부사항은 따로 정한다."
서울대학교 학칙,93,공개강좌 및 직업교육훈련과정,"본교에 학생 이외의 사람을 대상으로 교육하는 공개강좌와 국가, 지방자치단 체 또는 산업체 등과 계약을 체결하여 교육하는 직업교육훈련과정을 둘 수 있으며, 개설 및 운영에 관한 사항은 따로 정한다.               제8절 위탁생·특별수강생 등"
서울대학교 학칙,94,위탁생,"① 법령이 정하는 위탁학생이 있을 때에는 학사과정 및 대학원과정에 정원외로 수학을 허가할 수 있 다. ② 위탁생에게는 학위를 수여하지 아니한다. 다만, 소정의 전형을 거쳐 입학이 허가된 학생에게는 이를 수여할 수 있다. ③ 위탁생에 관한 세부사항은 따로 정한다."
서울대학교 학칙,95,특별수강생,"① 각급 학위과정에 특별수강생의 수학을 허가할 수 있으며, 그 세부사항은 따로 정한다. ② 특별수강생에게는 학위를 수여하지 아니한다."
서울대학교 학칙,96,교류수학생,"본교와 국내외 대학간 학생의 교류수학을 허가할 수 있으며, 그 세부사항은 따로 정한다."
서울대학교 학칙,97,연수연구원,① 박사학위 소지자로서 본교 전임교원이 아닌 자를 연수연구원으로 위촉하여 연구에 종사하게 할 수 있다. ② 연수연구원에게는 연구실적증명서를 교부할 수 있다.
서울대학교 학칙,98,대학원연구생,① 대학원의 학위과정을 수료한 사람으로서 소정의 등록을 필한 사람에게 대학원연구생의 자 격을 준다. ② 대학원연구생의 자격·신분·등록 등에 관한 사항은 따로 정한다.               제4장 학생                제1절 학생활동
서울대학교 학칙,99,학생회 등,① 학생은 학생회 등 학생단체를 구성할 수 있다. ② 위 단체의 조직과 운영에 관한 사항은 따로 정한다.법제처                                                            23                                                       국가법령정보센터  서울대학교 학칙
서울대학교 학칙,100,학생 생활지도,"학업 및 학생생활의 상담과 지도를 위하여 상담지도교수를 둘 수 있다.   제100조의2(장애학생 지원) 장애학생의 학업 및 대학생활 등을 위한 교육·복지 지원을 적극적으로 제공하며, 그 세부 사항은 따로 정한다."
서울대학교 학칙,101,학생의 의무,"① 학생은 학칙 등 제규정을 준수하여야 하며, 수업·연구 등 학교의 기본 기능 수행을 방해하 는 개인 또는 집단적 행위와 교육목적에 위배되는 활동을 할 수 없다. ② 학생회 등 학생단체는 집회 및 행사를 주최함에 있어서 제1항을 준수하여야 한다"
서울대학교 학칙,102,간행물,학생의 간행물 발간 및 배포에 관한 사항은 따로 정한다.               제2절 장학
서울대학교 학칙,103,등록금의 면제·감액,"① 경제적 사정이 곤란한 학생, 학업성적이 우수한 학생, 또는 장학상 필요하다고 인정 하는 학생과 천재지변 등으로 인하여 수업료와 그 밖의 납부금(이하 “등록금”이라 한다)의  납입이 곤란하다고 인 정되는 학생에 대해서는 등록금을 면제하거나 감액할 수 있다. ② 제1항에 따른 등록금의 감면은 해당 학년도 전체 학생이 납부해야 할 등록금 총액의 10 퍼센트 이상에 해당하 는 액수이어야 한다. 이 경우 경제적 사정이 곤란한 학생에게 감면하는 액수가 총감면액의 30 퍼센트 이상이 되 도록 한다."
서울대학교 학칙,104,장학금,학생에게는 별도로 정하는 바에 따라 장학금을 지급할 수 있다.
서울대학교 학칙,105,학비보조 등,① 간호대학 간호학과 제3학년 이상의 학생은 재학 중 학생기숙사에 입사하여 생활훈련을 받 아야 한다. 이 경우 이들 학생에 대하여는 기숙사비·피복비 및 그 밖의 학비의 일부를 국고에서 지급한다. ② 제1항에 따른 학생이 휴학하거나 징계처분에 의하여 정학처분을 받았을 때에는 그 기간 중 학비보조금의 지 급을 정지한다.               제3절 규율과 상벌
서울대학교 학칙,106,포상,"학업성적이 우수하고 타의 모범이 되는 학생에게는 포상할 수 있으며, 이에 관한 사항은 따로 정한다."
서울대학교 학칙,107,징계,"① 총장은 학생이 이 학칙을 위반하거나 학생의 본분에 어긋난 행위를 하였을 때에는 징계할 수 있다. ② 총장은 징계에 관한 사항을 학(원)장에게 위임할 수 있다. ③ 징계는 근신, 정학 및 제명으로 한다. ④ 학생을 징계하고자 하는 경우에는 해당 학생에게 징계혐의 사실을 사전에 고지하고, 구두진술·증거제출·의견 제출의 기회를 주어야 한다. ⑤ 징계절차 및 징계에 관한 세부사항은 따로 정한다."
서울대학교 학칙,108,학사경고,"① 학사과정(치의학대학원 학사·전문석사통합과정의 학사과정을 포함한다) 학생으로서 한 학기 성적 평점 평균이 1.7에 미달되거나 3교과목 이상 또는 6학점 이상이 “F”인 자에게는 학사경고를 한다. 다만, 졸업 요건을 충족한 졸업예정자 및 유급을 적용하는 의과대학 의학과, 수의과대학 수의학과, 약학대학 학생은 학사경고 대상에서 제외한다.  [개정 2018. 6. 15., 2020. 2. 27.] [시행 2022. 3. 1.] ② 법학전문대학원 석사과정 학생으로서 한 학기 성적 평점 평균이 2.25 이하이거나 2개 교과목 이상의 성적이 “F” 또는 “U”인 학생에게 학사경고를 한다. 이 경우 성적산출시 학사과정과 외국어 진행강의 및 외국대학에서 취 득한 성적은 제외한다.[개정 2015. 2. 6., 2020. 2. 27., 2023. 11. 15.]법제처                                                            24                                                       국가법령정보센터  서울대학교 학칙  ③ 학(원)장은 학사경고를 받은 학생에 대하여 다음 학기 수강학점을 제한하는 내규를 정할 수 있다. 이 경우 제 한할 수 있는 학점은 3학점으로 하고, 연속하여 2회 이상 학사경고를 받은 학생에 대하여는 6학점으로 한다. [개 정 2018. 6. 15.]"
서울대학교 학칙,109,유급,"다음 각 호 중 어느 하나에 소속된 학생으로서 성적이 일정수준에 미달한 자에 대하여 유급을 명할 수 있으며, 이에 관한 사항은 따로 정한다. [개정 2018. 6. 15.] 1. 학사과정 : 의과대학 의학과, 수의과대학 수의학과, 약학대학 [신설 2018. 6. 15.]   [개정 2020. 2. 27.] [시행 2022. 3. 1.]  2. 석사과정 : 치의학대학원(학사·전문석사통합과정의 학사과정은 제외한다), 법학전문대학원 [신설 2018. 6. 15.]"
서울대학교 학칙,110,학사제적·학사제명,"① 학사과정 학생으로서 제108조의 학사경고를 4회 받은 경우에는 학사제적하며, 법학 전문대학원 석사과정 학생은 연속 3회 학사경고를 받은 경우에 학사제적한다. 다만, 학사지도위원회에서 질병 등 특별한 사유가 있다고 인정한 경우에는 학사제적을 유보하고 권고휴학을 하도록 할 수 있다. [개정 2018. 6. 15.] ② 권고휴학 후 복학한 학생이 다시 학사경고를 받은 경우에는 학사제적한다. ③ 학사제적된 후 재입학한 학생이 제108조의 학사경고 2회를 받은 경우에는 학사제명한다. ④ 제1항의 학사지도위원회에 관한 세부사항은 따로 정한다."
서울대학교 학칙,111,유급제적·유급제명,"① 제109조의 유급을 적용하는 대학(원)의 학생으로서 동일 학년에서 2회의 유급처분을 받은 경우 또는 재학연한 중 3회의 유급처분을 받은 경우에는 유급제적하며, 법학전문대학원 석사과정 학생이 재 학연한 중 2회의 유급처분을 받은 경우에는 유급제적한다. 다만, 학사지도위원회에서 질병 등 특별한 사유가 있다 고 인정한 경우에는 유급제적을 유보하고 권고휴학을 하도록 할 수 있다. [개정 2018. 6. 15.] ② 권고휴학 후 복학한 학생이 다시 유급처분을 받은 경우에는 유급제적한다. ③ 유급제적된 후 재입학한 학생이 다시 유급처분을 받은 경우에는 유급제명한다.               제5장 등록금"
서울대학교 학칙,112,등록금 납부,① 학생은 매학기 등록기간에 소정의 등록금을 납부하여야 한다. ② 등록기간 종료 이전에 휴학 허가를 받은 학생은 그 학기 등록금(입학금은 제외한다)을 납부하지 아니한다.[개 정 2018. 6. 15.]
서울대학교 학칙,113,등록금심의위원회,"① 등록금 책정에 관한 사항을 심의하기 위하여 등록금심의위원회(이하‘위원회’라 한다 )를 둔다.  ② 위원회는 교직원 3명, 학생 3명, 관련 전문가(학교와 직접적인 이해관계가 있는 자는 제외한다) 2명과 학부모 또는 동문 1명의 위원으로 구성하며, 총장이 위촉 또는 임명한다. 다만, 학부모 또는 동문 위원 1명은 학교와 학 생대표가 협의하여 추천한다. ③ 위원회에 위원장과 부위원장 각 1명을 두되 위원 중에서 호선한다. ④ 제1항부터 제3항까지에서 규정한 사항 이외에 위원회의 구성, 운영 및 심의에 필요한 사항은 총장이 따로 정 한다."
서울대학교 학칙,114,복학자의 등록금,복학이 허가된 학생은 그 학기의 등록금을 납부하여야 한다.
서울대학교 학칙,115,결석 또는 정학시의 등록금,등록금은 결석 또는 정학으로 인하여 감액 또는 면제되지 아니한다.
서울대학교 학칙,116,실험실습비 등,실험·실습·실기 등에 소요되는 비용은 따로 징수할 수 있다.  법제처                                                            25                                                       국가법령정보센터  서울대학교 학칙
서울대학교 학칙,117,등록금의 반환,"① 이미 납입한 등록금은 다음 각호의 경우에 그 구분에 따라 이를 반환한다. 다만, 학기단 위가 6개월 미만인 경우의 등록금의 반환은 총장이 따로 정한다. 1. 과오납의 경우에는 과오납된 금액 전액 2. 법령에 의하거나 본인의 질병·사망·천재지변으로 학업을 계속할 수 없는 경우 3. 입학허가를 받은 자가 입학포기원을 제출한 경우 4. 재학 중인 자가 자퇴원을 제출한 경우 [개정 2018. 6. 15.] 5. 휴학 중인 자가 복학하지 않아 제적된 경우 6. 그 밖에 부득이한 사유로 학업을 계속하지 아니하게 된 경우 ② 제1항의 반환금은 다음의 구분에 의하여 이를 반환한다. 반환사유 발생일 반 환 금 액 입학일 전 또는 당해학기 개시일 전 등록금 전액 학기 개시일부터 30일 까지 입학금을 제외한 등록금의 6분의 5 해당액 학기 개시일에서 30일이 지난 날부터 60일 까지 입학금을 제외한 등록금의 3분의 2 해당액 학기 개시일 60일이 지난 날부터 90일까지 입학금을 제외한 등록금의 2분의 1 해당액 학기 개시일 90일이 지난 날 반환하지 아니함               제6장  학칙개정"
서울대학교 학칙,118,학칙개정,"이 학칙을 개정하고자 할 때에는 총장 또는 교수회가 발의하고, 총장이 7일 이상 공고한 후 학사 위원회 및 평의원회의 심의와 이사회의 의결을 거쳐  이를 확정·공포한다."
서울대학교 학칙,119,규정 제정 및 개정,"이 학칙 시행을 위한 규정을 제정 또는 개정하고자 할 때에는  총장이 7일 이상 공고한 후 학사위원회 및 평의원회의 심의를 거쳐 이를 확정 공포한다. 다만, 다음 각 호의 경우에는 평의원회의 심의를 거치지 아니할 수 있다. 1. 관련 법령, 정관, 학칙 등 상위 규범의 개정내용을 반영한 하위 규정의 경미한 개정 2. 평의원회의 심의를 마친 사항을 반영하는 규정의 개정 3. 자구 또는 간단한 내용의 수정    부칙 <제1869호,2012.7.12>"
서울대학교 학칙,1,시행일,이 학칙은 공포한 날부터 시행한다.
서울대학교 학칙,2,조직 등의 폐지,① 이 학칙 시행에 따라 학장회는 2011년 12월 28일에 폐지된 것으로 본다.   ② 이 학칙 시행에 따라 재정위원회와 「재정위원회 규정」은 2011년 12월 28일에 폐지된 것으로 본다. 이 경우 재정위원회 위원의 임기는 2011년 12월 28일에 종료된 것으로 본다.  ③ 이 학칙 시행에 따라 연구위원회는 폐지한다. 이 경우 임기가 만료되지 않은 연구위원회 위원의 임기는 이 학칙의 시행일 전일까지로 본다.법제처                                                            26                                                       국가법령정보센터  서울대학교 학칙
서울대학교 학칙,3,부속시설에 관한 특례 등,"① 제23조제3항에도 불구하고 본교에 연구시설로 법학전문대학원이 주관하는 아 시아태평양법연구소를 두며, 부속시설로 본부직할의 인권센터, 대학행정교육원, 어린이보육지원센터를 둔다.   ② 종전 학칙 중 연구시설과 부속시설의 설치에 관한 사항은 새로운 별도의 규정이 제정되어 시행되기 전까지 계속 효력을 가진다."
서울대학교 학칙,4,모집단위 조정 등에 따른 경과조치,"① 이 학칙 시행 전에 인문대학 인문계열Ⅰ 및 인문계열Ⅱ, 사회과학대학 사회과학계열 및 인류·지리학과군, 자연과학대학 수리과학부·통계학과군, 공과대학 공학계열, 농업생명과학대학 식물생산·산림과학부군, 농생명공학계열 및 바이오시스템·조경학계열 모집단위로 입학한 학생은 전공에 진입할 때까지 각각 해당 학생이 입학한 계열, 학과(부)군에 속한 것으로 본다.   ② 이 학칙 시행 당시 융합과학기술대학원 나노융합학과, 디지털정보융합학과 및 지능형융합시스템학과 재적 생은 각각 기존 학과에 재적하는 것으로 본다. 다만, 본인이 희망할 경우 융합과학부로 소속을 변경할 수 있다."
서울대학교 학칙,5,직제 및 보직자 등에 관한 경과조치,"① 종전 학칙 중 직제에 관한 사항은 이 학칙에 위배되지 않는 한 새로운 직제에 관한 규정이 제정되어 시행되기 전까지 계속 효력을 가진다.   ② 총장이 종전에 임명한 부총장, 처장 등 보직자는 남은 임기동안 그 직에 임명된 것으로 본다. 이 경우 종전의 “기획1부처장”은 “기획부처장”으로, “기획2부처장”은 “협력부처장”으로 임명된 것으로 본다.   ③ 종전 학칙에 근거한 실·과·팀·분원·분관·센터 등의 하부조직에 속한 교직원은 별도의 임시조치가 없는 이상 새로운 직제에 관한 규정이 제정되어 시행될 때까지 종전의 하부조직에 소속된 것으로 본다."
